State,dw_code,party_x,party_y,Metro Area,County (may overlap with multiple counties),benchmark_60.60_85k_eptc,benchmark_40_32k_eptc,benchmark_60.60_85k_no_eptc,benchmark_40_32k_no_eptc,last_name,first_name,birthday,gender,fullname,BACH_PLUS_pct,FOREIGN_BORN_pct,stdis_y,Congressional District,Total population,Median Household Income,Male,Female,Sex ratio (males per 100 females),Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 34 years,35 to 44 years,45 to 54 years,55 to 59 years,60 to 64 years,65 to 74 years,75 to 84 years,85 years and over,Median age (years),One race,Two or More Races,One race - White,One race - Black or African American,One race - American Indian and Alaska Native,One race - Asian,One race - Native Hawaiian and Other Pacific Islander,Hispanic or Latino (of any race),Not Hispanic or Latino,Not Hispanic or Latino - White alone,Not Hispanic or Latino - Black or African American alone,Not Hispanic or Latino - American Indian and Alaska Native alone,Not Hispanic or Latino - Asian alone,Not Hispanic or Latino - Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino - Some Other Race alone,Not Hispanic or Latino - Two or More Races,Total housing units,Harris,Trump2024,Total2024,Harris5,Trump%,Margin,Biden,Trump2020,Total2020,Biden%,Trump2020%,Margin2020,PctBachelors+,STATEFP,district,GEOID
Florida,FL15,R,Republican,"Tampa-St. Petersburg-Clearwater, FL",Hillsborough County,602.09,58.13,2651.26,180.27,Lee,Laurel,3/26/74,F,Laurel Lee,0.3194,0.1765,FL15,Florida 15,799268,69416,396383,402885,98.4,45092,48249,50272,54507,57566,106775,105321,99251,50204,46900,78423,41579,15129,38.3,681765,117503,465809,115461,3161,41673,538,210583,588685,404121,110340,722,40937,356,5105,27104,330537,155662,195534,356338,43.68%,54.87%,-11.19%,"176,040","187,647","367,849",47.86%,51.01%,-3.16%,35.8,12,15,1215
Florida,FL16,R,Republican,"North Port-Bradenton-Sarasota, FL",Manatee County,602.09,58.13,2670.16,180.27,Buchanan,Vern,5/8/51,M,Vern Buchanan,0.3354,0.1472,FL16,Florida 16,797764,81348,384063,413701,92.8,40465,46512,50434,43124,38977,93938,99765,97861,52866,53223,101063,58432,21104,43.5,697039,100725,531708,96339,3076,21751,623,169320,628444,478472,93260,708,21211,523,5156,29114,363998,177608,243281,424610,41.83%,57.30%,-15.47%,"184,319","220,728","409,050",45.06%,53.96%,-8.90%,33.5,12,16,1216
Florida,FL17,R,Republican,"North Port-Bradenton-Sarasota, FL",Sarasota County,602.09,58.13,2765.41,180.26,Steube,W.,5/19/78,M,W. Steube,0.3139,0.1432,FL17,Florida 17,805607,72899,390734,414873,94.2,28455,32149,37800,36718,34705,70161,72861,86699,56429,67872,145516,100590,35652,55.3,728004,77603,643929,45239,2470,13177,352,116243,689364,605639,43509,828,13101,254,3884,22149,441325,176069,287945,467186,37.69%,61.63%,-23.95%,"187,427","259,237","450,114",41.64%,57.59%,-15.95%,19.2,12,17,1217
Florida,FL18,R,Republican,"Lakeland-Winter Haven, FL",Polk County,602.08,58.13,2832.78,180.26,Franklin,C.,8/23/64,M,C. Franklin,0.1883,0.1343,FL18,Florida 18,800215,59488,400713,399502,100.3,44138,44607,52167,50484,47275,101245,98615,91453,48282,49851,92874,58806,20418,40.9,703756,96459,498933,106656,5353,12570,126,226895,573320,430850,103292,1789,12447,126,3901,20915,357552,124323,229013,356098,34.91%,64.31%,-29.40%,"133,424","213,235","349,949",38.13%,60.93%,-22.81%,38.7,12,18,1218
Florida,FL19,R,Republican,"Cape Coral-Fort Myers, FL",Lee County,602.08,58.13,2984.81,180.27,Donalds,Byron,10/28/78,M,Byron Donalds,0.3632,0.1771,FL19,Florida 19,787875,78761,385474,402401,95.8,31340,31892,33981,36517,34776,76902,76277,84473,54342,61784,135040,97789,32762,53.6,686606,101269,588182,50769,4074,14465,296,152487,635388,547169,48823,428,14330,272,3328,21038,488658,150278,275172,428204,35.09%,64.26%,-29.17%,"169,589","260,674","433,251",39.14%,60.17%,-21.02%,26.8,12,19,1219
Florida,FL20,D,Democrat,"Miami-Fort Lauderdale-West Palm Beach, FL",Broward County,602.08,58.14,2693.73,180.27,Cherfilus-McCormick,Sheila,1/25/79,F,Sheila Cherfilus-McCormick,0.2483,0.3674,FL20,Florida 20,777341,60844,374562,402779,93,50139,47715,49654,44968,45403,110111,104798,94016,51434,48922,73271,37594,19316,38.8,654263,123078,200405,393205,1834,21106,427,185576,591765,150537,386055,687,20612,351,5849,27674,317309,207864,89156,299724,69.35%,29.75%,39.61%,"252,405","78,222","332,578",75.89%,23.52%,52.37%,36.7,12,20,1220
Florida,FL21,R,Republican,"Port St. Lucie, FL",St. Lucie County,602.08,58.14,2935.37,180.27,Mast,Brian,7/10/80,M,Brian Mast,0.3475,0.1697,FL21,Florida 21,791702,79967,390327,401375,97.2,36146,37915,42439,43490,36558,84644,86400,95100,56951,60591,110038,75482,25948,48.2,700653,91049,547125,102905,2511,17008,458,143259,648443,500326,99035,674,16812,443,4214,26939,382673,188603,264124,455972,41.36%,57.93%,-16.56%,"199,069","240,849","442,839",44.95%,54.39%,-9.43%,38.0,12,21,1221
Florida,FL22,D,Democrat,"Miami-Fort Lauderdale-West Palm Beach, FL",Palm Beach County,602.08,58.14,2820.8,180.27,Frankel,Lois,5/16/48,F,Lois Frankel,0.3608,0.3137,FL22,Florida 22,773299,78446,379150,394149,96.2,36911,38768,41166,40620,38835,87759,90621,94829,49847,51996,97351,72145,32451,46.3,657533,115766,430253,137495,1963,21339,340,215133,558166,373424,134250,479,21119,299,5456,23139,370554,197003,176046,376334,52.35%,46.78%,5.57%,"229,942","160,705","393,104",58.49%,40.88%,17.61%,45.6,12,22,1222
Florida,FL23,D,Democrat,"Miami-Fort Lauderdale-West Palm Beach, FL",Broward County,602.08,58.14,2688.68,180.27,Moskowitz,Jared,12/18/80,M,Jared Moskowitz,0.4395,0.2944,FL23,Florida 23,767250,82670,378220,389030,97.2,37656,38401,41477,42352,38959,89439,97281,100781,57058,54954,89337,55558,23997,44.8,638568,128682,469161,102923,1267,26787,353,173464,593786,414720,99931,661,25861,280,10410,41923,392938,195684,188302,387455,50.50%,48.60%,1.91%,"232,548","177,952","412,845",56.33%,43.10%,13.22%,32.9,12,23,1223
Florida,FL24,D,Democrat,"Miami-Fort Lauderdale-West Palm Beach, FL",Miami-Dade,602.08,58.13,2745.69,180.26,Wilson,Frederica,11/5/42,F,Frederica Wilson,0.2972,0.4653,FL24,Florida 24,776655,60834,381526,395129,96.6,46619,46334,49809,41835,44612,111564,109554,100946,50107,48149,75183,37237,14706,39.3,617451,159204,220692,327696,1438,10308,250,301447,475208,123414,318030,837,9985,149,5450,17343,359695,191104,102190,295841,64.60%,34.54%,30.05%,"245,449","83,302","330,498",74.27%,25.20%,49.06%,42.4,12,24,1224
Florida,FL25,D,Democrat,"Miami-Fort Lauderdale-West Palm Beach, FL",Broward County,602.08,58.14,2651.85,180.27,Wasserman Schultz,Debbie,9/27/66,F,Debbie Wasserman Schultz,0.3963,0.3897,FL25,Florida 25,768721,83268,377030,391691,96.3,38314,42299,50481,46088,45369,96234,107672,113851,53705,49866,71135,37451,16256,41.1,578383,190338,369599,124815,1587,36773,586,333348,435373,245947,120134,1037,35727,569,6920,25039,322423,184023,165217,352829,52.16%,46.83%,5.33%,"229,439","152,844","384,550",59.66%,39.75%,19.92%,30.2,12,25,1225
Florida,FL26,R,Republican,"Miami-Fort Lauderdale-West Palm Beach, FL",Miami-Dade,602.08,58.13,2790,180.26,Diaz-Balart,Mario,9/25/61,M,Mario Diaz-Balart,0.2831,0.5712,FL26,Florida 26,783327,68314,388588,394739,98.4,39658,38823,44077,45296,45644,95155,102310,112753,58991,48829,79288,51702,20801,43.1,459000,324327,335312,45263,4029,8338,210,576190,207137,148326,39961,314,7496,113,2537,8390,310744,101483,211711,315221,32.19%,67.16%,-34.97%,"126,831","184,088","312,563",40.58%,58.90%,-18.32%,44.0,12,26,1226
Florida,FL27,R,Republican,"Miami-Fort Lauderdale-West Palm Beach, FL",Miami-Dade,602.08,58.13,2753.64,180.26,Salazar,Maria,11/1/61,F,Maria Salazar,0.4118,0.5626,FL27,Florida 27,751136,76110,364686,386450,94.4,38862,35865,35162,42303,40992,107455,101859,106938,55881,46892,71097,44261,23569,42.2,418576,332560,314873,41903,2029,16303,94,550122,201014,127605,37724,654,15671,94,3499,15767,327257,142906,192461,338014,42.28%,56.94%,-14.66%,"178,067","179,207","359,223",49.57%,49.89%,-0.32%,30.0,12,27,1227
Florida,FL28,R,Republican,"Miami-Fort Lauderdale-West Palm Beach, FL",Miami-Dade,602.08,58.13,2906.94,180.26,Gimenez,Carlos,1/17/54,M,Carlos Gimenez,0.2933,0.4939,FL28,Florida 28,764593,76312,376711,387882,97.1,43346,42752,49257,47846,45089,96617,102791,110740,55458,46418,71417,38605,14257,40.5,476027,288566,331819,74682,2610,11478,229,547280,217313,121531,69328,540,10710,203,4171,10830,279278,123817,208901,335003,36.96%,62.36%,-25.40%,"159,454","181,199","342,665",46.53%,52.88%,-6.35%,30.0,12,28,1228
Georgia,GA01,R,Republican,"Savannah, GA",Chatham County,602.08,58.14,2385.71,180.27,Carter,Earl,9/6/57,M,Earl Carter,0.2743,0.0667,GA01,Georgia 01,778015,66773,383925,394090,97.4,48472,50052,51947,52378,54591,113099,101439,90053,46548,46364,74851,36169,12052,36.8,724224,53791,459490,224520,1859,14505,1058,62169,715846,443973,220736,849,14100,1019,4185,30984,341781,152070,209540,363589,41.82%,57.63%,-15.81%,"144,314","189,725","338,574",42.62%,56.04%,-13.41%,28.4,13,1,1301
Georgia,GA02,D,Democrat,"Columbus, GA-AL",Muscogee County,602.08,58.14,2298.44,180.27,Bishop,Sanford,2/4/47,M,Sanford Bishop,0.2082,0.046,GA02,Georgia 02,757600,50799,368236,389364,94.6,45623,49782,52772,52050,53195,104081,93606,87103,46880,48115,75473,35240,13680,37.2,720939,36661,309569,379001,1979,10489,680,45837,711763,297747,375600,909,10107,580,2924,23896,344320,169577,145474,316317,53.61%,45.99%,7.62%,"173,621","140,787","317,280",54.72%,44.37%,10.35%,21.6,13,2,1302
Georgia,GA03,R,Republican,"Atlanta-Sandy Springs-Roswell, GA",Coweta County,602.08,58.14,2551.95,180.27,Jack,Brian,2/17/88,M,Brian Jack,0.2791,0.0609,GA03,Georgia 03,775231,77091,376298,398933,94.3,44521,49632,53818,54811,48458,93482,97178,102213,55320,48286,77496,36938,13078,39.2,734816,40415,513862,184172,2315,15259,219,49543,725688,497933,182465,616,15087,189,5397,24001,308843,145886,270196,418554,34.85%,64.55%,-29.70%,"132,438","248,375","385,533",34.35%,64.42%,-30.07%,29.2,13,3,1303
Georgia,GA04,D,Democrat,"Atlanta-Sandy Springs-Roswell, GA",DeKalb County,602.08,58.14,2628.79,180.27,Johnson,Henry,10/2/54,M,Henry Johnson,0.3862,0.2386,GA04,Georgia 04,770385,74234,364958,405427,90,50136,46848,54681,50422,47949,120786,105762,98662,48667,45397,64362,26702,10011,36.3,708733,61652,214118,414321,5303,43450,594,85622,684763,197517,410798,668,43142,418,4151,28069,317812,234429,71937,309663,75.70%,23.23%,52.47%,"248,593","65,346","317,482",78.30%,20.58%,57.72%,40.9,13,4,1304
Georgia,GA05,D,Democrat,"Atlanta-Sandy Springs-Roswell, GA",Fulton County,602.08,58.14,2628.79,180.27,Williams,Nikema,7/30/78,F,Nikema Williams,0.4774,0.1201,GA05,Georgia 05,759666,80691,368022,391644,94,40935,42101,39170,45585,59486,152376,111777,91146,40230,39210,58510,28866,10274,35,712612,47054,286907,368170,2445,34080,432,56797,702869,273570,363974,1084,33621,355,3638,26627,383488,299983,48165,351733,85.29%,13.69%,71.59%,"298,038","45,300","347,583",85.75%,13.03%,72.71%,55.1,13,5,1305
Georgia,GA06,D,Democrat,"Atlanta-Sandy Springs-Roswell, GA",Forsyth County,602.08,58.14,2628.79,180.27,McBath,Lucy,6/1/60,F,Lucy McBath,0.466,0.132,GA06,Georgia 06,776224,126645,386865,389359,99.4,42711,54404,57408,55261,37669,83606,116781,120399,54977,46639,65479,30817,10073,40,706507,69717,512338,69796,2627,93591,97,82612,693612,493106,68620,523,93092,97,6910,31264,296841,280411,92612,376079,74.56%,24.63%,49.94%,"272,649","90,780","367,715",74.15%,24.69%,49.46%,59.5,13,6,1306
Georgia,GA07,R,Republican,"Atlanta-Sandy Springs-Roswell, GA",Gwinnett County,602.08,58.14,2507.5,180.27,McCormick,Rich,10/7/68,M,Rich McCormick,0.5711,0.2003,GA07,Georgia 07,769543,84338,376315,393228,95.7,46025,54753,63321,57868,49024,102059,106777,110847,52161,41922,54321,23467,6998,36.1,683769,85774,261446,226803,3217,104639,870,180188,589355,228921,222147,1068,104402,238,4174,28405,272690,166264,261716,432786,38.42%,60.47%,-22.06%,"160,882","240,034","406,792",39.55%,59.01%,-19.46%,40.9,13,7,1307
Georgia,GA08,R,Republican,"Warner Robins, GA",Houston County,602.08,58.13,2121.09,180.27,Scott,Austin,12/10/69,M,Austin Scott,0.2244,0.0529,GA08,Georgia 08,768869,60479,378354,390515,96.9,47297,50208,53084,55284,54293,100981,98484,90756,49306,46515,74560,36532,11569,37.4,723859,45010,459610,229026,2627,12355,686,58403,710466,442858,228054,726,11873,587,2346,24022,327664,119340,225184,345955,34.50%,65.09%,-30.59%,"117,889","209,159","330,441",35.68%,63.30%,-27.62%,23.2,13,8,1308
Georgia,GA09,R,Republican,"Atlanta-Sandy Springs-Roswell, GA",Gwinnett County,602.08,58.14,2391.34,180.27,Clyde,Andrew,11/22/63,M,Andrew Clyde,0.3141,0.1631,GA09,Georgia 09,779431,76846,384929,394502,97.6,43414,47617,51438,56244,51144,88364,95996,103668,53039,51065,84221,41012,12209,40.4,701877,77554,530378,79969,2835,47024,129,126312,653119,499573,77899,718,46760,119,2606,25444,325808,130776,267538,401323,32.59%,66.66%,-34.08%,"121,352","239,320","365,489",33.20%,65.48%,-32.28%,31.9,13,9,1309
Georgia,GA10,R,Republican,"Athens-Clarke County, GA",Clarke County,602.08,58.14,2677.28,180.27,Collins,Mike,7/2/67,M,Mike Collins,0.2845,0.0714,GA10,Georgia 10,789054,74442,385722,403332,95.6,44699,48084,55922,60290,63078,101059,102282,100556,48340,46680,72457,34276,11331,37.2,737997,51057,507987,188569,2337,18231,563,65257,723797,490476,186191,743,18049,218,2685,25435,311427,162887,249036,414479,39.30%,60.08%,-20.78%,"146,057","226,098","376,859",38.76%,60.00%,-21.24%,29.7,13,10,1310
Georgia,GA11,R,Republican,"Atlanta-Sandy Springs-Roswell, GA",Cherokee County,602.08,58.14,2580.6,180.27,Loudermilk,Barry,12/22/63,M,Barry Loudermilk,0.4086,0.1286,GA11,Georgia 11,779392,92055,382455,396937,96.4,44086,46008,50696,54449,53885,114806,106785,105065,48405,46048,67464,32066,9629,37.3,713021,66371,499949,133564,4933,30106,288,102779,676613,475681,130815,488,29927,252,6330,33120,318208,159023,257070,420016,37.86%,61.20%,-23.34%,"149,016","234,589","390,136",38.20%,60.13%,-21.93%,42.8,13,11,1311
Georgia,GA12,R,Republican,"Augusta-Richmond County, GA-SC",Richmond County,602.08,58.13,2508.55,180.27,Allen,Rick,11/7/51,M,Rick Allen,0.2336,0.0529,GA12,Georgia 12,768903,59575,379015,389888,97.2,45819,48208,53387,56442,56100,103179,99484,89124,47378,48296,74366,34792,12328,37,727712,41191,411445,281412,1789,13709,547,44729,724174,397993,279222,809,13145,474,3690,28841,328604,149015,198465,349195,42.67%,56.84%,-14.16%,"151,146","185,743","340,948",44.33%,54.48%,-10.15%,24.5,13,12,1312
Georgia,GA13,D,Democrat,"Atlanta-Sandy Springs-Roswell, GA",Fulton County,602.08,58.14,2628.79,180.27,Scott,David,6/27/45,M,David Scott,0.3075,0.1854,GA13,Georgia 13,775125,72951,364539,410586,88.8,50203,53152,59515,55403,50031,112197,106510,107125,48369,42322,60431,22097,7770,35.7,724530,50595,150623,504649,1990,26381,578,95348,679777,126863,498020,612,26110,465,5088,22619,303099,257537,103350,364212,70.71%,28.38%,42.33%,"248,807","104,096","356,696",69.75%,29.18%,40.57%,32.2,13,13,1313
Georgia,GA14,R,Republican,"Atlanta-Sandy Springs-Roswell, GA",Cobb County,602.08,58.13,2403.87,180.27,Greene,Marjorie,5/27/74,F,Marjorie Greene,0.2593,0.0877,GA14,Georgia 14,775152,71533,382129,393023,97.2,45170,49354,55227,54773,47667,99500,101754,104992,51514,47905,71084,34848,11364,38.5,719521,55631,559809,107717,5802,9096,597,102703,672449,527860,105853,422,9033,515,2902,25864,303288,120819,262833,386145,31.29%,68.07%,-36.78%,"108,830","242,501","356,187",30.55%,68.08%,-37.53%,23.7,13,14,1314
Hawaii,HI01,D,Democrat,"Urban Honolulu, HI",Honolulu County,512.84,29.86,705.5,147.46,Case,Ed,9/27/52,M,Ed Case,0.3795,0.2599,HI01,Hawaii 01,722336,102840,362374,359962,100.7,37522,39762,40865,37005,43366,103974,97537,89236,44584,44331,76229,44234,23691,40.7,561352,160984,115796,14941,1386,359973,58167,59284,663052,107101,13912,733,355816,55473,2036,127981,279201,153039,91498,248840,61.50%,36.77%,24.73%,"178,660","96,350","279,670",63.88%,34.45%,29.43%,38.6,15,1,1501
Hawaii,HI02,D,Democrat,"Hilo-Kailua, HI",Hawaii County,512.84,29.86,705.5,147.46,Tokuda,Jill,3/28/76,F,Jill Tokuda,0.3135,0.1507,HI02,Hawaii 02,723299,93555,365099,358200,101.9,44499,43678,47077,40588,43922,90527,93616,82548,44388,48968,86816,40832,15840,40.4,507750,215549,209560,12799,2449,178834,90863,82941,640358,198228,12086,1012,175373,84591,2999,166069,285704,160005,102163,267861,59.73%,38.14%,21.59%,"187,470","100,514","294,799",63.59%,34.10%,29.50%,32.2,15,2,1502
Idaho,ID01,R,Republican,"Boise City, ID",Ada County,602.09,58.13,2026.81,180.27,Fulcher,Russ,7/19/73,M,Russ Fulcher,0.2826,0.0573,ID01,Idaho 01,957699,76208,482175,475524,101.4,56003,65404,67796,64756,55199,118518,124839,112331,57852,61392,107882,50014,15713,39,876018,81681,803532,6506,10643,10282,1400,116224,841475,769034,6272,7277,9910,1077,6264,41641,395587,126556,343893,482249,26.24%,71.31%,-45.07%,"132,085","302,868","447,457",29.52%,67.69%,-38.17%,30.1,16,1,1601
Idaho,ID02,R,Republican,"Twin Falls, ID",Twin Falls County,602.08,58.13,2096.94,180.27,Simpson,Michael,9/8/50,M,Michael Simpson,0.3231,0.076,ID02,Idaho 02,935597,72927,469905,465692,100.9,57263,62546,70181,79948,69881,126637,121407,101468,50843,54641,85070,41549,14163,35.1,857882,77715,774488,7602,10889,14697,1698,136242,799355,733133,6723,7499,14290,1690,4113,31907,381096,148416,261353,422563,35.12%,61.85%,-26.73%,"154,936","251,251","419,904",36.90%,59.84%,-22.94%,34.6,16,2,1602
Illinois,IL01,D,Democrat,"Chicago-Naperville-Elgin, IL-IN",Cook County,602.08,58.13,1898.39,180.27,Jackson,Jonathan,1/7/66,M,Jonathan Jackson,0.3183,0.0759,IL01,Illinois 01,748580,71207,354055,394525,89.7,40455,43394,50563,51572,47631,98152,91990,94725,50477,51564,75268,37160,15629,39.8,706117,42463,293411,365455,2705,15620,155,71093,677487,273759,362931,585,15386,89,3031,21706,328001,214180,109215,327524,65.39%,33.35%,32.05%,"260,631","103,984","369,753",70.49%,28.12%,42.37%,31.9,17,1,1701
Illinois,IL02,D,Democrat,"Chicago-Naperville-Elgin, IL-IN",Cook County,602.08,58.13,2214.36,180.27,Kelly,Robin,4/30/56,F,Robin Kelly,0.2374,0.0773,IL02,Illinois 02,743574,61514,354217,389357,91,43434,47073,53928,51389,45614,95140,90461,90976,47156,52095,75145,36527,14636,38.8,694855,48719,285287,347144,2461,7575,222,113781,629793,254518,344194,348,7420,113,2542,20658,332893,196188,97557,297831,65.87%,32.76%,33.12%,"231,924","98,000","334,668",69.30%,29.28%,40.02%,24.2,17,2,1702
Illinois,IL03,D,Democrat,"Chicago-Naperville-Elgin, IL-IN",Cook County,602.08,58.13,1939.25,180.27,Ramirez,Delia,6/2/83,F,Delia Ramirez,0.3549,0.2858,IL03,Illinois 03,739856,86160,365643,374213,97.7,41830,42738,48000,49118,48549,121763,108453,94853,44491,44025,59208,26129,10699,36.4,611068,128788,364603,41247,10116,49834,515,339077,400779,294066,37236,849,48842,187,2311,17288,287295,172024,88947,264637,65.00%,33.61%,31.39%,"207,342","84,147","297,395",69.72%,28.29%,41.42%,38.0,17,3,1703
Illinois,IL04,D,Democrat,"Chicago-Naperville-Elgin, IL-IN",Cook County,602.08,58.13,1938.25,180.27,García,Jesús,4/12/56,M,Jesús García,0.2337,0.319,IL04,Illinois 04,733798,72717,376371,357427,105.3,41033,47227,55130,54240,52988,101989,101057,97297,45590,39563,58462,28078,11144,36.5,583157,150641,273627,36260,12488,32144,524,483450,250348,175399,33995,196,31288,95,1392,7983,262757,133997,74150,211284,63.42%,35.09%,28.33%,"175,301","62,731","242,543",72.28%,25.86%,46.41%,24.6,17,4,1704
Illinois,IL05,D,Democrat,"Chicago-Naperville-Elgin, IL-IN",Cook County,602.08,58.13,1938.36,180.27,Quigley,Mike,10/17/58,M,Mike Quigley,0.6444,0.2102,IL05,Illinois 05,746503,113520,365545,380958,96,41981,40485,38596,36784,43857,137964,110633,90585,43721,45329,66670,33052,16846,37.7,686730,59773,551502,21739,2615,80345,262,92358,654145,524984,20740,476,79723,213,2841,25168,356801,254128,115335,373934,67.96%,30.84%,37.12%,"275,679","117,237","400,256",68.88%,29.29%,39.59%,64.9,17,5,1705
Illinois,IL06,D,Democrat,"Chicago-Naperville-Elgin, IL-IN",DuPage County,602.08,58.13,1939.97,180.27,Casten,Sean,11/23/71,M,Sean Casten,0.4341,0.1669,IL06,Illinois 06,746605,98177,368915,377690,97.7,43668,46508,45883,43641,36621,92939,96959,90631,52066,54614,85506,40288,17281,41.4,678209,68396,560868,38062,2639,43820,166,115003,631602,525436,37159,214,43537,132,2847,22277,309939,190484,170365,366334,52.00%,46.51%,5.49%,"216,368","173,185","396,914",54.51%,43.63%,10.88%,43.6,17,6,1706
Illinois,IL07,D,Democrat,"Chicago-Naperville-Elgin, IL-IN",Cook County,602.08,58.13,1937.99,180.27,Davis,Danny,9/6/41,M,Danny Davis,0.4598,0.1462,IL07,Illinois 07,737077,80071,352236,384841,91.5,40555,38119,39357,41137,51684,155175,111274,81004,39920,40110,60528,27254,10960,35.2,679776,57301,252487,307173,3343,63324,405,120552,616525,224821,304062,504,62657,307,2838,21336,365702,227588,46357,277166,82.11%,16.73%,65.39%,"274,896","41,082","321,060",85.62%,12.80%,72.83%,48.3,17,7,1707
Illinois,IL08,D,Democrat,"Chicago-Naperville-Elgin, IL-IN",Kane County,602.08,58.13,1940.31,180.27,Krishnamoorthi,Raja,7/19/73,M,Raja Krishnamoorthi,0.3895,0.2756,IL08,Illinois 08,749409,98112,374346,375063,99.8,41693,45845,50626,47276,42982,98104,103174,102235,51708,48819,71912,32951,12084,39.7,660955,88454,439669,35950,5366,101043,931,186313,563096,402465,34252,304,100453,141,2742,22739,290739,162610,141333,307970,52.80%,45.89%,6.91%,"189,430","138,017","333,628",56.78%,41.37%,15.41%,40.3,17,8,1708
Illinois,IL09,D,Democrat,"Chicago-Naperville-Elgin, IL-IN",Cook County,602.08,58.13,1987.57,180.27,Schakowsky,Janice,5/26/44,F,Janice Schakowsky,0.548,0.2721,IL09,Illinois 09,743003,90983,367861,375142,98.1,39339,41582,41600,46516,43546,100304,103407,97263,50638,46453,77732,36542,18081,40.5,678416,64587,466322,65832,3129,104633,257,102265,640738,439328,64276,570,103977,236,3211,29140,326015,234534,107886,346306,67.72%,31.15%,36.57%,"267,524","108,596","382,482",69.94%,28.39%,41.55%,56.4,17,9,1709
Illinois,IL10,D,Democrat,"Chicago-Naperville-Elgin, IL-IN",Lake County,602.08,58.13,1969.35,180.27,Schneider,Bradley,8/20/61,M,Bradley Schneider,0.4658,0.1981,IL10,Illinois 10,752196,105792,377733,374463,100.9,40615,49847,51713,56766,50576,85569,94252,99997,53139,49010,71313,35403,13996,39.3,665751,86445,484218,48542,6697,61159,360,184213,567983,433095,46332,621,60400,257,4648,22630,289628,198884,126235,329534,60.35%,38.31%,22.05%,"220,357","128,416","355,522",61.98%,36.12%,25.86%,47.6,17,10,1710
Illinois,IL11,D,Democrat,"Chicago-Naperville-Elgin, IL-IN",Will County,602.08,58.13,2053.68,180.27,Foster,Bill,10/7/55,M,Bill Foster,0.4428,0.164,IL11,Illinois 11,750921,106961,372266,378655,98.3,43797,49554,51617,52541,44630,88898,101944,102203,53590,46102,69199,33662,13184,39.3,668734,82187,511387,45927,3313,63010,237,145199,605722,474318,44704,344,62495,233,2656,20972,287890,198860,157499,361856,54.96%,43.53%,11.43%,"215,328","157,129","380,478",56.59%,41.30%,15.30%,44.7,17,11,1711
Illinois,IL12,R,Republican,"Marion-Herrin, IL",Williamson County,602.08,58.13,3822.59,180.27,Bost,Mike,12/30/60,M,Mike Bost,0.2381,0.0255,IL12,Illinois 12,748190,66758,378960,369230,102.6,41617,44840,47797,46183,43906,87911,94319,90924,52171,53203,84651,42248,18420,41.4,715145,33045,663149,36346,1361,7373,191,22458,725732,655724,35896,966,7224,131,1832,23959,344688,102645,264477,372700,27.54%,70.96%,-43.42%,"106,204","270,198","383,257",27.71%,70.50%,-42.79%,24.9,17,12,1712
Illinois,IL13,D,Democrat,"St. Louis, MO-IL",Madison County,602.09,58.13,2793.39,180.27,Budzinski,Nikki,3/11/77,F,Nikki Budzinski,0.3085,0.0624,IL13,Illinois 13,747026,61893,363420,383606,94.7,40994,41966,43493,56331,66658,101610,90724,83144,47235,48563,76122,35195,14991,37.4,701454,45572,514144,145544,1247,29214,265,36063,710963,501652,143977,618,29127,224,2813,32552,358758,180464,145725,331866,54.38%,43.91%,10.47%,"195,393","155,142","358,904",54.44%,43.23%,11.21%,32.7,17,13,1713
Illinois,IL14,D,Democrat,"Chicago-Naperville-Elgin, IL-IN",DeKalb County,602.08,58.13,2097.53,180.27,Underwood,Lauren,10/4/86,F,Lauren Underwood,0.3234,0.1351,IL14,Illinois 14,759546,93186,381104,378442,100.7,43240,51719,55787,58810,55371,94348,106935,103752,48534,40166,60856,28788,11240,37,670792,88754,493894,72368,4204,39269,76,177406,582140,447489,70485,440,38233,26,2463,23004,282557,173949,156554,335428,51.86%,46.67%,5.19%,"191,028","151,016","348,998",54.74%,43.27%,11.46%,32.0,17,14,1714
Illinois,IL15,R,Republican,"Quincy, IL-MO",Adams County,602.09,58.13,3169.12,180.26,Miller,Mary,8/27/59,F,Mary Miller,0.2507,0.0216,IL15,Illinois 15,749694,71893,375271,374423,100.2,39928,45337,48646,45460,43813,83947,92469,90739,51498,54773,87907,44725,20452,42.2,722412,27282,685459,23348,989,6375,349,21790,727904,677155,23064,743,6187,325,1382,19048,339448,111678,263292,381405,29.28%,69.03%,-39.75%,"117,057","270,236","395,434",29.60%,68.34%,-38.74%,25.6,17,15,1715
Illinois,IL16,R,Republican,"Peoria, IL",Tazewell County,602.08,58.13,3044.8,180.27,LaHood,Darin,7/5/68,M,Darin LaHood,0.3077,0.0492,IL16,Illinois 16,750034,82941,374250,375784,99.6,41607,47327,51728,47637,40231,85532,93469,93854,50284,52699,84721,42050,18895,41.6,708364,41670,657178,18986,1054,17599,80,52530,697504,637267,18595,351,17499,70,1668,22054,327366,147743,236254,390305,37.85%,60.53%,-22.68%,"152,633","238,789","400,519",38.11%,59.62%,-21.51%,32.2,17,16,1716
